category,text
sport,scotland v italy (sat) murrayfield  edinburgh  saturday  26 february  1400 gmt  bbc1  five live and this website  victory for the azzurri in rome last year saw scotland end their campaign without a victory. and the pressure is on scotland coach matt williams as he seeks a first six nations victory at the eighth attempt. italy have lost both their opening games at home to ireland and wales  but travel to edinburgh with high hopes.  their coach john kirwan has warned his side they must eradicate the errors that blighted their loss to wales however or risk suffering a third successive defeat.  if the defeat against wales has taught us anything  it s that at this level we can t make any mistakes   kirwan said.  in the six nations  every error you make will come at a high price.  we have to be aggressive for 80 minutes  keep calm in every situation and display great maturity on the pitch.   it will be fundamental to keep cool in the difficult moments - in the key situations of the game.  kirwan has recalled the experienced cristian stoica at centre and drafted in david dal maso at open-side after star flanker mauro bergamasco was ruled out for the rest of the tournament. scotland have also made two changes  simon webster replacing simon danielli on the wing and simon taylor returning for his first test in a year  for injured flanker jason white. taylor s recovery from a serious knee injury is a major boost to scottish hopes.  he is one of the world-class players in the tournament and you want them in your team   acknowledged williams.  despite a record of only two victories from 14 tests  williams insists he is revelling in the pressure.  i actually really enjoy seeing how you cope with such pressure as a coach   he said  optimistic despite opening defeats to france and ireland.  we were confident for those two first games and we are confident we can beat italy too   he added.  : c paterson; s webster  a craig  h southwell  s lamont; d parks  c cusiter; t smith  g bulloch (capt)  g kerr; s grimes  s murray; s taylor  j petrie  a hogg.  r russell  b douglas  n hines  j dunbar  m blair  g ross  b hinshelwood.  r de marigny; mirco bergamasco  c stoica  a masi  l nitoglia; l orquera  a troncon; a lo cicero  f ongaro  m castrogiovanni; s dellape  m bortolami (capt); a persico  d dal maso  s parisse.  g intoppa  s perugini  ca del fava  s orlando  p griffen  r pedrazzi  kp robertson.
business,us regulator to rule on pain drug us food and drug regulators will decide on friday whether to recommend the sale of painkillers that have been linked to a high risk of heart attack and stroke.  the food and drug administration (fda) advisory panel will give its verdict after hearing evidence for three days. the painkillers - called cox-2 inhibitors - are sold under brand names such as celebrex and vioxx. vioxx was withdrawn from shops last year but merck said it would consider selling it if it gets fda approval. the fda has been asked to decide if the benefits to patients justify the increased risks.  putting vioxx back on the shelves is likely to boost profits at merck and make easier any legal battles with people who claim to have been injured by the drug  analysts said.  merck voluntarily stopped sales of vioxx on 30 september  a move which caused the firm s fourth-quarter earnings to slide to $1.1bn (£581m)  from $1.4bn a year earlier. merck s shares tumbled more than 10% on the news and the company has had to set aside millions of dollars to cover the cost of vioxx-related litigation. alarm bells were rung by a research note called approve which showed that the risk of heart attack and stroke doubled in patients who had been taking the drug for at least 18 months. the cox-2 inhibitors were developed by drug companies  including merck and pfizer  because they cause users fewer stomach problems than other painkillers.  pfizer is still selling its celebrex and bextra products  though investigations have suggested that they may also be harmful to the heart. merck s announcement of a possible reintroduction of vioxx caught analysts by surprise. merck s head of research peter kim said that it withdrew vioxx  based on the information that was available to us at the time  knowing there were alternative therapies . he went on to say that things have since changed in the light of new reports.  given this new information  its is not clear that the cardiovascular risk observed in approve makes vioxx unique in the class of similar drugs marketed in the us   mr kim explained.  on thursday  david graham from the fda s office of drug safety told the advisory panel that  there really doesn t appear to be a need for cox-2  inhibitors. according to calculations presented to the us senate by dr graham in november  vioxx may be linked to as many as to 56 000 american deaths. facing stem criticism for its handling of the vioxx case  the fda said on tuesday that it will create an independent body to oversee the safety of drugs already in the market place. european regulators  meanwhile  ruled on thursday that patients who have had heart disease or a stroke should not take cox-2 inhibitors. the european medicines agency also said doctors should be  cautious  about giving the drugs to patients who have risk factors for heart disease.
business,telegraph newspapers axe 90 jobs the daily and sunday telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff.  the telegraph group says the cuts are needed to fund an £150m investment in new printing facilities. journalists at the firm met on friday afternoon to discuss how to react to the surprise announcement. the cuts come against a background of fierce competition for readers and sluggish advertising revenues amid competition from online advertising. the national union of journalists has called on the management to recall the notice of redundancy by midday on monday or face a strike ballot.  pearson s financial times said last week it was offering voluntary redundancy to about 30 reporters.  the national union of journalists said it stood strongly behind the journalists and did not rule out a strike.  managers have torn up agreed procedures and kicked staff in the teeth by sacking people to pay for printing facilities   said jeremy dear  nuj general secretary. nuj official barry fitzpatrick said the company had ignored the 90-day consultation period required for companies planning more than 10 redundancies.  they have shown a complete disregard for the consultative rights of our members   said mr fitzpatrick  who added that the company now planned to observe the consultation procedures. the two telegraph titles currently employ 521 journalists.  some broadsheet newspapers - especially those which have not moved to a tabloid format - have suffered circulation declines  which are hitting revenues. the telegraph has announced no plans to go tabloid although both the independent and the times have seen circulation rise since shrinking in size.  the guardian is hedging its bets  planning a larger tabloid format like those popular in continental europe. the telegraph group was bought by the barclay twins - frederick and david - last year  having previously been owned by lord conrad black s hollinger international. the brothers are currently mulling the sale of another of their businesses  retailer littlewoods.  telegraph executive murdoch maclennan said the two newspapers would add eight colour pages in the coming months.   journalists are the lifeblood of any newspaper  and maintaining the quality of the daily telegraph and the sunday telegraph for our readers is vital   he said.  however  action to improve our production capability and secure our titles against the competition is also vital.  many newspapers are investing in new printing machinery that enables them to print more colour pages  or in some cases  have colour on every page. they are hoping that by boosting colour it will make their publications more attractive to advertisers and readers alike. in recent months news corp s news international unit  which publishes the sun and the news of the world  the guardian media group  trinity mirror and the daily mail & general trust have all announced substantial investments in new printing plants.
sport,robinson wants dual code success england rugby union captain jason robinson has targeted dual code success over australia on saturday.  robinson  a former rugby league international before switching codes in 2000  leads england against australia at twickenham at 1430 gmt. and at 1815 gmt  great britain s rugby league team take on australia in the final of the tri-nations tournament.  beating the aussies in both games would be a massive achievement  especially for league   said robinson. england have the chance to seal their third autumn international victory after successive wins over canada and south africa  as well as gaining revenge for june s 51-15 hammering by the wallabies. meanwhile  great britain could end 34 years of failure against australia with victory at elland road. britain have won individual test matches  but have failed to secure any silverware or win the ashes (with a series victory) since 1970.   they have a great opportunity to land a trophy and it would be a massive boost for rugby league in this country if we won   said robinson.  i know the boys can do it - they ve defeated the aussies once already in the tri-nations.  but robinson was not losing sight of the task facing his england side in their final autumn international.  for us  we ve played two and won two this november   he said.  if we beat australia it would be the end to a great autumn series for england. if we stumble then we ll be looking back with a few regrets. robinson also revealed that the union side had sent the great britain team a good luck message ahead of the showdown in leeds.  we signed a card for them today and will write them an email on saturday wishing them all the best   said robinson.  everyone has signed the card - a lot of the guys watch league and we support them fully.  both games will be very tough and hopefully we ll both do well.
business,court rejects $280bn tobacco case a us government claim accusing the country s biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.  the demand for $280bn (£155bn) - filed by the clinton administration in 1999 - was rejected in a 2-1 decision. the court in washington found that the case could not be brought under federal anti-racketeering laws. among the accused were altria group  rj reynolds tobacco  lorillard tobacco  liggett group and brown and williamson. in its case  the government claimed tobacco firms manipulated nicotine levels to increase addiction  targeted teenagers with multi-billion dollar advertising campaigns  lied about the dangers of smoking and ignored research to the contrary.  prosecutors wanted the cigarette firms to surrender $280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products. but the court of appeals for the district of columbia ruled that the us government could not sue the firms under legislation drawn up to counteract mafia infiltration of business. the tobacco companies deny that they illegally conspired to promote smoking and defraud the public. they also say they have already met many of the government s demands in a landmark $206bn settlement reached with 46 states in 1998. shares of tobacco companies closed higher after the ruling  with altria rising 5% and reynolds showing gains of 4.5%.
sport,hingis to make unexpected return martina hingis makes her return to competitve tennis after two years out of the game at the volvo women s open in pattaya  thailand  on tuesday.  she faces german marlene weingartner in the first round.  as a competitor and athlete  i always want to win. i hope my body will hold up   said hingis.  you miss being out there in a grand slam final and not competing. it s a big difference between playing and commenting for tv. i miss it a lot.  the former world number one was 22 when she retired after having surgery on both ankles  and her last wta event was in filderstadt  germany  in october 2002  when she lost to elena dementieva. only last year she insisted that a comeback was unlikely  but speaking in thaliand hingis admitted:  i said that because i didn t know what would happen with my body.  her appearance will also benefit charities in the region and the swiss star will donate her prize money.
business,india power shares jump on debut shares in india s largest power producer  national thermal power corp (ntpc) have risen 13% on their stock market debut.  the government s partial sell-off of ntpc is part of a controversial programme to privatise state-run firms. the 865 million share offer  a mix of new shares and sales by the government  raised 54bn rupees($1.2bn). it was india s second $1bn stock debut in three months  coming after the flotation by software firm tata. the share offer was eleven times oversubscribed.  it is a good investment bet   said suhas naik  an investment analyst from ing mutual fund.  power needs in india are set to rise and ntpc will benefit from that.  analysts say the success of the ntpc flotation would encourage the government to reduce stakes in more power companies. ntpc has said it will use the money from the share sale to feed the growing needs of the country s energy-starved economy. the firm is the largest utility company in india  and the sixth largest power producer in the world.
tech,broadband in the uk growing fast high-speed net connections in the uk are proving more popular than ever.  bt reports that more people signed up for broadband in the last three months than in any other quarter. the 600 000 connections take the total number of people in the uk signing up for broadband from bt to almost 3.3 million. nationally more than 5 million browse the net via broadband. britain now has among the highest number of broadband connections throughout the whole of europe.  according to figures gathered by industry watchdog  ofcom  the growth means that the uk has now surpassed germany in terms of broadband users per 100 people. the uk total of 5.3 million translates into 7.5 connections per 100 people  compared to 6.7 in germany and 15.8 in the netherlands. the numbers of people signing up to broadband include those that get their service direct from bt or via the many companies that re-sell bt lines under their own name. part of the surge in people signing up was due to bt stretching the reach of adsl - the uk s most widely used way of getting broadband - beyond 6km.  asymmetric digital subscriber line technology lets ordinary copper phone lines support high data speeds. the standard speed is 512kbps  though faster connections are available.  this breakthrough led to a dramatic increase in orders as we were suddenly able to satisfy the pent-up demand that existed in many areas   said paul reynolds  chief executive of bt wholesale which provides phone lines that other firms re-sell. bt retail  which sells net services under its own name  also had a good quarter and provided about 30% of the new broadband customers. this was a slight increase on the previous three months. despite the good news about growth in broadband  figures from telecommunications regulator ofcom show that bt faces increasing competition  and dwindling influence  in other sectors. local loop unbundling  (llu)  in which bt rivals install their hardware in exchanges and take over the line to a customer s home or office  is growing steadily. cable & wireless and ntl have announced that they are investing millions to start offering llu services. by the end of september more than 4.2 million phone lines were using so-called carrier pre-section (cps) services  such as talktalk and one.tel  which route phone calls across non-bt networks from a local exchange. there are now more than 300 different firms offering cps services and the percentage of people using bt lines for voice calls has shrunk to 55.4%.
business,deadline nears for fiat-gm deal fiat and general motors (gm) have until midnight on 1 february to settle a disagreement over a potential takeover.  the deadline marks the point at which fiat will gain the right to sell its car division to gm  part of an alliance agreed in 2000. gm  whose own european operations are losing money  no longer wants to own the unprofitable fiat unit. reports of deadlocked talks sent fiat shares down 1.2% on tuesday  after monday s 4% gain on hopes of a payoff. the us firm is thought to be offering about $2bn (£1.06bn) to extricate itself from the arrangement. it has argued the deal was voided by fiat s decision to sell off fiat s finance arm and halve gm s stake via a capital-raising effort.  the 2000 deal resulted from a race between gm and daimlerchrysler to ally with fiat. the german firm wanted to buy fiat outright. but gianni agnelli  the godfather of the group  wanted to keep control  and preferred gm s offer to buy a 20% stake and give fiat the right to sell in the future  known as a  put option . since then  however  fiat cars have lost market share and the firm has piled up losses  while a plan to raise new money in 2003 cut gm s stake in half to 10%. for its part  gm s european units opel and saab have both had trouble  with opel management threatening to cut 12 000 jobs.  the last thing they need is additional production capacity in europe   said patrick juchemich  auto analyst at sal oppenheim bank.
entertainment,top of the pops leaves bbc one the bbc s flagship pop music programme top of the pops is to move from bbc one on fridays to sundays on bbc two.  the new programme will combine with archive show totp2  mixing new music with footage of classic bands. the corporation said the new show  aims to appeal to a diverse audience of music lovers . the move is the biggest shake-up in the history of the show  which was first broadcast in 1964 and has always been on bbc one. top of the pops was relaunched in a blaze of publicity in december last year in an attempt to reverse a long-term decline in audience figures.  the all new top of the pops was fronted by newcomer tim kash and was put together by producer andi peters  who was brought back to the bbc from channel 4 to revitalise the series.  about three million people a week were watching the show on fridays - less than half the total it was attracting in the mid-1990s - as the programme went up against popular itv soap coronation street. but despite the relaunch audience figures failed to rise and still remain around the three million mark. tim kash has since been replaced as host by fearne cotton. the new show will launch in spring next year in an extended format. bbc two controller roly keating:  it s an exciting new era for top of the pops. we want to make it bigger and better so that it becomes the ultimate pop music show for music lovers of every generation.  mr keating described bbc two as the  natural home  of top of the pops. he added:  the addition of top of the pops will also extend bbc two s offering to younger audiences.   a bbc spokeswoman said andi peters would continue as executive producer on the show. she said that issues over the exact format of the programme and a time slot were still to be decided. the programme will have a close relationship with the bbc radio 1 chart show  which suggests the relaunched show may be transmitted at about 1900 on sundays.  hopefully the audience for top of the pops will find it on bbc two.  we think that the new slot will create a buzz around the programme as for the first time viewers will discover the news of who is number one as it happens.
tech,microsoft gets the blogging bug software giant microsoft is taking the plunge into the world of blogging.  it is launching a test service to allow people to publish blogs  or online journals  called msn spaces. microsoft is trailing behind competitors like google and aol  which already offer services which make it easy for people to set up web journals. blogs  short for web logs  have become a popular way for people to talk about their lives and express opinions online.  msn spaces is free to anyone with a hotmail or msn messenger account. people will be able to choose a layout for the page  upload images and share photo albums and music playlists. the service will be supported by banner ads.  this is a simple tool for people to express themselves   said msn s blake irving. this is microsoft s first foray into blogging  which has taken off as a web phenomenon in the past year. competitors like google already offer free services through its blogger site  while aol provides its members with journals. accurate figures for the number of blogs in existence are hard to come by. according to blog analysis firm technorati  the so-called blogosphere  has doubled every five and a half months for the last 18 months. it now estimates that the number of blogs in existence has exceeded 4.8 million  although some speculate that less than a quarter are regularly maintained.
business,indonesia  declines debt freeze  indonesia no longer needs the debt freeze offered by the paris club group of creditors  economics minister aburizal bakrie has reportedly said.  indonesia  which originally accepted the debt moratorium offer  owes the paris club about $48bn (£25.5bn). mr bakrie told the bisnis indonesia newspaper that a $1.7bn donors  aid package meant that the debt moratorium was unnecessary. this aid comes on top of a previously-pledged $3.4bn package. most of this  normal aid  would be used to finance the country s budget deficit. the indonesian economics minister explained that the money - $1.2bn in grants and $500m in soft loans - was for the rebuilding of aceh province  which was badly hit by the tsunami of 26 december. nevertheless  one of mr bakrie s deputies  mahendra siregar  told afp news agency that indonesia was still considering the offer by the paris club of rich creditor nations to temporarily suspend its debt payments.  what is true is that we are still discussing... the paris club decision to find out more details such as how much of our debt will be subject to a moratorium. that s how far we are at this stage   said mr siregar.  the 19 member countries of the paris club are owed about $5bn this year in debt repayments by nations affected by the indian ocean tsunami. indonesia  sri lanka and the seychelles accepted the paris club offer  which was criticised by some aid groups as being too little. thailand and india have however declined the offer  with thailand prefering to keep up with its payments while india said it would prefer to rely on its own resources rather than on international aid. putting off payments may lower a country s rating among financial organisations  making it more expensive and more difficult for them to borrow money in the future  analysts said. separately  the indonesian government has said it will announce monthly how much it has received in foreign donations and how it has spent the money. welfare minister alwi shihab told ap news agency that this announcement should allay suspicion of official corruption in relief operations.
politics,wales  must learn health lessons  the new health minister for wales says there are lessons to learn from england in tackling waiting lists.  dr brian gibbons  on his first full day in the job after jane hutt was sacked  admitted  big challenges  but insisted the  essentials  were in place. but both plaid cymru and the liberal democrats said dr gibbons needed to change policy. meanwhile ms hutt defended her record  saying waiting times and lists were  only 10% of the health agenda. dr gibbons  who was a gp in blaengwynfi  in the upper afan valley  before becoming am for aberavon  said nhs staff wanted a period of consolidation after  tremendous change and reform . one of the biggest problems which had faced ms hutt during her five-and-a-half years as the assembly s first health minister was the length of waiting lists in wales.  in november the british medical association said nhs staff were  weeping with despair  as figures showed 311 000 people were waiting for treatment in wales  up by 2 400 on the previous month. in the same month lists in england were at their lowest for 17 years  with 856 600 people waiting for treatment. dr gibbons told radio wales:  there is no doubt that  in managing waiting lists  england has done a lot of very very useful work  and we do need to learn from that.   but he said the nhs in wales also needed to create a healthier population rather than respond only to ill health  and a balanced view of priorities was important.  we do need a consistent across-the-board approach  recognising the patients  experience of how they use the service is going to be  at the end of the day  the main test of how the service is working.  he said nhs staff wanted a period of consolidation after  tremendous change and reform . later  dr gibbons praised the work of ms hutt  saying he  agreed with everything she s done  to change the health service in wales. dr gibbons said he accepted there was a problem  but his job now was to build on the foundations put in place by his predecessor. he also acknowledged that until the waiting list issue was sorted out  the rest of the assembly government s health policy would be overshadowed.  opposition members and some labour mps had long called for ms hutt s removal after sustained criticism over extended hospital waiting times. first minister rhodri morgan told bbc wales he had agreed with ms hutt in 2003 that she would not be health minister in the run-up to the 2007 elections.  she s been doing the job for five years and eight months and  apart from nye bevan himself  (architect of the nhs)  i don t think anybody has ever done the job for so long.  mr morgan said he had only told ms hutt of the reshuffle on monday morning  and said the nhs in wales was dr gibbons   baby  now. in response to dr gibbons  comments  ieuan wyn jones  leader of the plaid cymru group in the assembly  said:  it is apparent that this reshuffle by the first minister was just changing the deckchairs on a sinking titanic.  kisrty williams  for the lib dems  added:  if the underlying policy is going to continue  then changing the minister will serve no purpose  other than to deflect flak from labour s mps   she said. meanwhile ms hutt said she hoped  that the people of wales would benefit from my investment of the past five years and eight months  asked about waiting lists  she said that waiting times and lists were  only 10% of the health agenda  and that the welsh assembly government had  turned the corner  on the issue.
business,singapore growth at 8.1% in 2004 singapore s economy grew by 8.1% in 2004  its best performance since 2000  figures from the trade ministry show.  the advance  the second-fastest in asia after china  was led by growth of 13.1% in the key manufacturing sector. however  a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back. slowdowns in the us and china could hit electronics exports  while the tsunami disaster may effect the service sector.  economic growth is set to halve in singapore this year to between 3% and 5%. in the fourth quarter  the city state s gross domestic product (gdp) rose at an annual rate of 2.4%. that was up from the third quarter  when it fell 3.0%  but was well below analyst forecasts.  i am surprised at the weak fourth quarter number. the main drag came from electronics   said lian chia liang  economist at jp morgan chase. singapore s economy had contracted over the summer  weighed down by soaring oil prices. the economy s poor performance in the july to september period followed four consecutive quarters of double-digit growth as singapore bounced back strongly from the effects of the deadly sars virus in 2003.
politics,parties build up poll war chests the labour party received more than £5m in donations in the final quarter of 2004  new figures show.  this is nearly half of the £11 724 929 received by 16 political parties listed by the electoral commission. the conservatives were in second place with donations totalling £4 610 849  while the liberal democrats received just over £1m. the majority of labour s donations came from affiliated trade unions. there were also large sums from individuals. lord drayson  whose company powderject won multi-million pound contracts to provide smallpox vaccine to the government after the 11 september terror attacks  gave £500 000 to the party just days before christmas.  this followed an earlier donation of the same amount earlier in 2004. he was made a lord by tony blair last year. other significant donations came from retired millionaire businessman and philanthropist sir christopher ondaatje who gave the party a sum of £500 000  and refrigerator magnate william haughey obe who gave £330 000. the totals for the fourth quarter were well up on the same period of 2003  as the parties built up their war chests for the general election campaign. the largest donation to the conservatives was a bequest from ruth beardmore of nearly £400 000. the joint founder of merchant bank hambro magan gave £325 417. there were also donations topping £250 000 for the conservatives from scottish business groups focus on scotland and the institute of international research  the world s largest independent conference company.  also among the gifts to the tories were 24 donations totalling £161 840 from bearwood corporate services. this company is controlled by the party s former treasurer lord ashcroft which has directed almost £300 000 to specific marginal constituencies over the past two years. the liberal democrats  largest donor was the joseph rowntree reform trust ltd  a company which promotes political reform and constitutional change  which gave a sum of £250 000. and fast food giants mcdonald s are listed as donating a sum of £10 575. this was a fee the firm paid for a room for an event held with the work and skills foundation during the party s conference. the uk independence party  which lost its main donor paul sykes amid the row over robert kilroy-silk s bid for the leadership last autumn  took in £63 081. just £8 170 of this was cash and the remainder came in gifts in kind  such as office space and printing. registered political parties are required to set out each quarter all donations over £5 000 to their headquarters and over £1 000 to local constituency parties they receive. it is an offence for a person to knowingly or recklessly make a false declaration about party donations.
sport,funding cut hits wales students the wales students rugby side has become a casualty of the welsh rugby union s reorganisation at youth level.  an amalgamated under-18 side formed from separate schools and national youth teams plays its first match on thursday  against italy at the gnoll. but that move has seen the wru decide to end its funding of representative sides such as wales students. as a result  traditional international fixtures against england and france in the new year have been cancelled. the welsh students rugby football union feels that it is unable to properly prepare for or stage the matches. the secretary of the welsh students rugby football union  reverend eldon phillips  said:  it is a shame that fixtures cannot be maintained this year.  the competition provided by the strong english and french teams has enabled the welsh students to test themselves in high quality matches.  the increasing number of young rugby players entering higher education look for the biggest challenge  that is representative rugby  but this year that opportunity will be denied them. players who have played for wales students before going on to win full senior representative honours include robert jones  rob howley  jon humphreys  darren morris  martyn williams and ceri sweeney.
business,call to save manufacturing jobs the trades union congress (tuc) is calling on the government to stem job losses in manufacturing firms by reviewing the help it gives companies.  the tuc said in its submission before the budget that action is needed because of 105 000 jobs lost from the sector over the last year. it calls for better pensions  child care provision and decent wages. the 36-page submission also urges the government to examine support other european countries provide to industry. tuc general secretary brendan barber called for  a commitment to policies that will make a real difference to the lives of working people.    greater investment in childcare strategies and the people delivering that childcare will increases the options available to working parents   he said.  a commitment to our public services and manufacturing sector ensures that we can continue to compete on a global level and deliver the frontline services that this country needs.  he also called for  practical measures  to help pensioners  especially women who he said  are most likely to retire in poverty . the submission also calls for decent wages and training for people working in the manufacturing sector.
tech,tech helps disabled speed demons an organisation has been launched to encourage disabled people to get involved in all aspects of motorsport  which is now increasingly possible thanks to technological innovations.  the motorsport endeavour club left the starting grid yesterday at the autosport international 2005 show at birmingham s nec  with several technologies to adapt vehicles on display.  motorcycle racer  roy tansley  from derby developed his electronic sequential gear changer following an accident which resulted in part of his left leg being amputated.  i needed to find a way of changing gear and generally you do that with your left leg   mr tansley told the bbc news website.  in simple terms  i needed to invent a left foot - initially it was quite a heath robinson device.  mr tansley had to argue his case to be allowed to continue competing with motorcycle racing s governing body  the autocycle union.  at that time they wouldn t let any amputee race at all  but eventually they told me i could have a licence as long as i raced sidecars.  mr tansley s invention  the pro-shift  is designed to work with hewland gearboxes which are widely used in motorcycle racing. in addition to helping disabled riders to compete  mr tansley reckons that the pro-shift saves at least 20 seconds per lap when he competes in the isle of man tt. as a result  there has been considerable interest in the product from other riders keen to improve their performance.  i m not prejudiced  i ll sell to able-bodied people if i have to!  he joked.  another exhibit on the motorsport endeavour stand is a subaru impreza rally car  adapted to accommodate a variety of disabilities. the vehicle belongs to pararallying  the world s only rally school for disabled drivers which is based in lincolnshire.   we use the latest technology supplied by an italian company   said rally driver dave hawkins who runs the company.  the cars have electronic throttles  electronic brakes  electronic clutches - we ve yet to turn anybody away.  mr hawkins - a paraplegic himself - says his customers have included right or left arm amputees  quadriplegics  people who have had strokes and a woman who had had all four limbs amputated. pararallying uses a vauxhall astra gsi with an automatic gearbox and manual subaru imprezas. the car on display is fitted with a  duck clutch  - a switch on the gear stick used instead of the clutch pedal. it also has a second ring behind the steering wheel to operate the throttle and a hand operated brake bar.  when joy rainey started competing in motorsport in 1974 she was continuing the family tradition - her father  murray  is a former australian formula 3 champion.  and it was rainey senior who modified a sports racer to accommodate his daughter s small stature so that she could take part in hill climbs. she uses an ordinary road car by putting extensions on the pedals  a cushion behind her back and raising the seat.  but in a competition car you have to have everything right or you ll lose the balance of the car   she said.  i bring everything back to me - steering wheel  steering column  gear lever and pedals.  when she recently took part in the london to sydney marathon she shared the driving with her partner  trevor  who now does the engineering work. he designed a system for their morris minor so that the adaptations could be totally removed in under a minute. the motorsport endeavour club is hoping that putting such technologies on display will result in more disabled people becoming involved in all areas of the sport and at every level.
business,yukos sues four firms for $20bn russian oil firm yukos has sued four companies for their role in last year s forced state auction of its key oil production unit yuganskneftegas.  yukos is claiming more than $20bn (£11bn) in damages after yugansk was sold in december to settle back taxes. the four companies named in the law suit are gas giant gazprom  its unit gazpromneft  investment company baikal  and state oil firm rosneft. yukos submitted the suit in houston  where it filed for bankruptcy. as well as suing for damages  yukos has asked the us court to send its tax dispute with the russian government to an international arbitrator. it also has submitted a reorganisation plan as part of its chapter 11 bankruptcy filing.  the clash between yukos and the kremlin came to a head last year when yukos was hit with a bill of more than $27bn in back taxes and unpaid fines. to settle the bill  russia forced yukos to sell off yuganskneftegas.  yukos called the sale illegal and has turned to courts in the us in an effort to regain control of the oil production business. it also has vowed to use all legal means at its disposal to go after any firm that tries to buy or take control of its assets. earlier this month it sued the russian government for $28.3bn. analysts have questioned whether a us court has any jurisdiction over russian companies  while moscow officials have dismissed yukos  legal wrangling as meaningless. in houston  bankruptcy judge letitia clark will start a two-day hearing on 16 february to hear arguments on whether a us court is the proper forum for the case.  the threat of legal action from yukos and its bankruptcy filing in houston did have an effect on last year s auction  however. concerned that it would be caught up in a court battle  gazprom and gazpromneft withdrew from the auction  and yuganskneftegas was sold to little-known investment firm baikal finance group. a few days later  baikal gave control of the company to state-run oil group rosneft for $9.3bn. rosneft  meanwhile  has agreed to merge with gazprom  bringing a large chunk of russia s very profitable oil business back under state control. yukos claims that the rights of its shareholders have been ignored and that is has been punished for the political ambitions of its founder mikhail khodorkovsky. mr khodorkovsky  once russia s richest man  is in prison  having been charged with fraud and tax evasion and repeatedly denied bail.
sport,hodgson relishes european clashes former blackburn boss roy hodgson says the premiership should follow the rest of europe and have a winter break - but insists that a gruelling domestic schedule will not damage the english elite s bid for champions league glory.  hodgson - now in charge at viking stavanger - was at liverpool s clash with bayer leverkusen at anfield on tuesday as a member of uefa s technical committee. hodgson is a fierce advocate of the winter break employed throughout europe  although not in england - where the champions league contenders have ploughed through a heavy fixture list. but hodgson told bbc sport that while he believes the premiership should embrace the idea  he does not expect it to cost the english representatives in the last 16 of the champions league.  i just feel it is very difficult to say with certainty that teams who have had the break will have a definite edge.  i am a fervent supporter of the break. it gives players the chance to recharge their batteries midway through the season  which some suggest will give teams an advantage in the champions league.  the other school of thought suggests having a break then coming back to it puts you at a disadvantage.  the bigger discussions around the winter break should be to do with the nature of football today  the needs of football players and the way the premiership has developed  rather than one or two matches in the champions league in february.  hodgson believes a winter break carries many advantages  explaining:  as i said  it is the perfect chance to recharge batteries.   and certainly if i was still a manager in england i would be supporting any calls for its introduction.  in pre-season you get a lot of enthusiasm and energy but by the time you get towards christmas many players  having also played plenty of international matches for club and country and travelled a lot  find themselves getting very jaded.  the break gives them a chance to recover that energy and enthusiasm and  perhaps more importantly  recover their mental strength during the break and get ready for the games ahead.  the mental side is by far the most important thing.  hodgson added:  the length of breaks can vary. in italy the break was very short. you just took christmas and new year.  it was so short you didn t do anything. you gave the players a week or 10 days off  then you were training for a week or 10 days and then went into a game.  if it is longer  it is important those responsible for physical fitness give the players a programme to follow to ensure the physical strength they have accumulated stays with them.  and hodgson believes a winter break would be a positive step in the premiership. he said:  if we talk about football at elite level  which the premiership is  then i would support a winter break.  if you examine the demands of the premier league and  in particular on players who play international football for their club and country  then a break would do them the world of good - physically and mentally.
sport,o driscoll out of scotland game ireland captain brian o driscoll has been ruled out of saturday s rbs six nations clash against scotland.  o driscoll was originally named in the starting line-up but has failed to recover from the hamstring injury he picked up in the win over italy. his replacement will be named after training on friday morning. fellow centre gordon d arcy is also struggling with a hamstring injury and he will undergo a fitness test on friday to see if he can play.  kevin maggs would be an obvious replacement at centre while shane horgan could also be moved from wing. ulster wing tommy bowe could also be asked to travel with the squad to scotland as a precautionary measure. the only other change to the ireland side sees wasps flanker johnny o connor replacing denis leamy. o connor will be winning his third cap after making his debut in the victory over south africa last november.  : murphy  horgan  tbc  d arcy  hickie  o gara  stringer  corrigan  byrne  hayes  o kelly  o connell  s easterby  o connor  foley.  : sheahan  horan  o callaghan  miller  g easterby  humphreys  dempsey.
